tenant_id;empresa_id;item_id;codigo;item;saldo_atual;sugestao_ajuste_para_zero;ent_total;sai_total;ajuste_total;ent_os_nf;sai_os_sem_origem;sai_com_origem;qtd_os_refs;flag_dupla_saida_prob
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;207;5SL11047MB;DISJ 1P C 4A 5SL1 104-7MB;-63;63;112;175;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;181;3RH29111HA11;BLOC.CONT.AUX.FRONT 1NA+1NF S00-S3 PARAF;-61;61;113;174;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1225;16724;1040848| WQG1-M10B/AD10.0 TERMINACAO RETA ENGATE RAPIDO M-10X1.5 (PRETO);-60;60;60;120;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1464;800655;CHAPA PRETA 2,00 1200X3000MM PECA(S): 1;-58.258;58.258;58.258;349.548;233.032;58.258;116.516;233.032;1;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;259;3RV20111JA10;DISJUNTOR INNOV 3RV2011-1JA10 7-10A;-56;56;75;131;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1222;5447;1040245| GMK-P16B CONTRA PORCA PG-16 (PRETO);-52;52;100;152;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;726;5SL13107MB;DISJ 3P C 10A 5SL1 310-7MB;-51;51;62;117;4;0;3;4;1;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;821;3RQ31182AM00;RELE DE INTERFACE 3RQ3118-2AM00;-50;50;50;100;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1079;6204;1040264| GMK-P09B CONTRA PORCA PG-9 (PRETO);-48;48;95;143;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;724;5SL13327MB;DISJ 3P C 32A 5SL1 332-7MB;-46;46;50;96;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;876;GA50U2004ABA;CONVERSOR FREQ TRIF GA500, 220V, 3,5/3,0A, IP20;-46;46;48;94;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1065;5196;1040200| WQG1-G3/8B/AD13.0 TERMINACAO RETA ENGATE RAPIDO GAS 3/8" (PRETO);-45;45;80;125;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1463;800652;CHAPA PRETA 1,50 1200X3000MM PECA(S): 1;-42.209;42.209;42.209;253.25400000000002;168.836;42.209;84.418;168.836;1;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1069;6223;1040269| WQG1-P13B/AD18.5 TERMINACAO RETA ENGATE RAPIDO PG-13.5 (PRETO);-40;40;60;100;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;732;6ES71936BP000BA0;ET200sp: Base: A0, BU15-P16A02B;-40;40;54;94;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1233;5197;1040201| WQG1-G3/4B/AD28.5 TERMINACAO RETA ENGATE RAPIDO GAS 3/4" (PRETO);-39;39;70;109;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;763;3RT20161AN21;CONTATOR AC3:9A 1NA 220VCA 5060 HZ PF;-39;39;41;80;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1108;12542266;CONTATOR CWB18-11-30C03 24V DC;-38;38;38;76;0;38;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;745;5SV53420MB;DR 3PN 25A 30MA, AC, 5SV5 342-0MB;-34;34;34;68;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1467;BQEMA40-1CLB;EMENDA SIMPLES ASA40-1 - PEDIDO 2025/116598 -;-33;33;33;198;132;33;66;132;1;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1077;5208;1040211| GMK-P11B CONTRA PORCA PG-11 (PRETO);-32;32;60;92;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1232;5445;1040244| WQG1-P16B/AD21.2 TERMINACAO RETA ENGATE RAPIDO PG-16 ( PRETO );-32;32;60;92;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;689;5SL12047MB;DISJ 2P C 4A 5SL1 204-7MB;-31;31;35;66;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;781;3RA29112AA00;CONEXAO 3RV S00 C 3RT S00 MOLA;-30;30;30;60;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1290;19433;1040958| WQG1-M32B/AD28.5 TERMINACAO RETA ENGATE RAPIDO M-32X1.5 (PRETO);-30;30;30;60;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1050;14720;1100031| TS-1/8 TERMINAL ILHOS SIMPLES VERMELHO (PCT C/100 PECAS);-30;30;230;260;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;916;5ST3768;BORNE ISOLADO CONEX. LATERAL 5ST3768;-30;30;30;60;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1306;11843;1040623| WQW1-G11/4B/AD42.5 TERMINACAO CURVA ENGATE RAPIDO G1 1/4" (PRETO);-30;30;30;60;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1234;8238;1040423| GMK-G1/4B CONTRA PORCA GAS 1/4" (PRETO);-30;30;50;80;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1307;12033;1040640| WQG1-G1/4B/AD10.0 TERMINACAO RETA ENGATE RAPIDO GAS 1/4" (PRETA);-30;30;30;60;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;910;2026036192;ABRACADEIRA NYLON 6.6  100X2,5MM PT UV F7010UVPR100     FRONTEC;-30;30;30;60;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1304;6206;1040265| WQG1-M18B/AD15.8 TERMINACAO RETA ENGATE RAPIDO M-18X1.5 (PRETO);-29;29;30;59;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1137;54034088583;CABO EPR 1KV-FLEX 90G   16,00MM BC                       CORFIO;-27;27;27;54;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1143;54034089583;CABO EPR 1KV-FLEX 90G   16,00MM VM                       CORFIO;-27;27;27;54;0;0;0;0;0;false
