mov_id;tenant_id;empresa_id;item_id;codigo;item;quantidade;data_movimentacao;motivo;sugestao1_os;sugestao1_freq;sugestao2_os;sugestao2_freq;sugestao3_os;sugestao3_freq
2889;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;537;PA000749470;default_3786_atf_mir_1 | 1006-20 CFQ # 3.00 128.41x1999.80 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2890;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;536;PA000749469;default_3655_atf_mir_1 | 1006-20 CFQ # 3.00 148.41x2459.75 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2891;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;535;PA000749468;default_3464_atf_mir_1 | 1006-20 CFQ # 3.00 128.41x1999.80 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2892;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;534;PA000749395;00010_fechamento_tubo_1 | INOX 304 # 2.00 104.71x592.62 (L C X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2893;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;533;PA000749394;00009_fechamento_tubo_1 | INOX 304 # 2.00 20.00x588.34 (L C X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2894;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;532;PA000749393;00007_tubo_ligacao_maq_1 | INOX 304 # 2.00 889.41x619.69 (L C X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2895;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;531;PA000749392;00004_funil_1 | INOX 304 # 2.00 319.99x584.30 (L X );2;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2896;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;530;PA000749391;00003_funil_1 | INOX 304 # 2.00 319.99x584.30 (L X );2;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2897;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;529;PA000749390;00002_tubo_funil_1 | INOX 304 # 2.00 469.95x594.56 (L C X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2898;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;528;PA000749389;00001_superior_funil_1 - DUAS PARTES | INOX 304 # 2.00 100.00x1172.28 (L D X );2;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2899;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;527;PA000747896;00007_base_cilindro_2_mir_1 | A36BQ # 6.30 50.00x168.85 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2900;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;526;PA000747835;00028_fechamento_inox_mir_1 | INOX 304 # 2.00 116.14x114.14 (L R D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2901;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;525;PA000747840;00035_funil_fixo_1 BATIDO NA DOBRADEIRA | INOX 304 # 2.00 50.00x189.35 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2902;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;524;PA000747829;00018_fecha_frontal_inox_mir_1 | INOX 304 # 2.00 142.28x141.00 (L R D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2903;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;523;PA000747831;00021_fechamento_inox_mir_1 | INOX 304 # 2.00 99.16x264.19 (L R D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2904;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;522;PA000747832;00022_fechamento_inox_mir_1 | INOX 304 # 2.00 99.14x280.14 (L R D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2905;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;521;PA000747897;00008_base_cilindro_430_mir_1 | A36BQ # 6.30 115.14x315.14 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2906;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;520;PA000747834;00024_fechamento_inox_mir_1 | INOX 304 # 2.00 130.14x308.00 (L R D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2907;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;519;PA000747838;00033_funil_fixo_1 BATIDO NA DOBRADEIRA | INOX 304 # 2.00 71.50x368.42 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2908;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;518;PA000747839;00034_funil_fixo_1 EM DUAS PARTES | INOX 304 # 2.00 74.74x166.20 (L D X );2;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2909;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;517;PA000747842;default_3704_atf_mir_1 EM DUAS PARTES | INOX 304 # 2.00 117.66x171.65 (L D X );2;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2910;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;516;PA000746306;00026_fechamento_inox_1 | INOX 304 # 2.00 65.28x1139.89 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2911;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;515;PA000747837;00032_funil_maior_1 | INOX 304 # 2.00 55.00x663.73 (L C X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2912;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;514;PA000747825;00013_fechamento_inox_mir_1 | INOX 304 # 2.00 267.13x389.12 (L R D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2913;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;513;PA000747843;default_4087_atf_mir_1 | INOX 304 # 3.00 149.99x558.37 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2914;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;512;PA000747836;00031_funil_maior_1 EM DUAS PARTES | INOX 304 # 2.00 128.22x290.87 (L D X );2;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2915;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;511;PA000746297;00015_fechamento_inox_1 | INOX 304 # 2.00 278.00x724.00 (L X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2916;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;510;PA000747824;00012_fechamento_inox_mir_1 | INOX 304 # 2.00 316.14x678.28 (L R D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2917;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;509;PA000747833;00023_fechamento_inox_mir_1 | INOX 304 # 2.00 144.28x2030.00 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2918;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;508;PA000746293;00011_fechamento_inox_superior_1 | INOX 304 # 2.00 302.00x1490.00 (L X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2919;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;507;PA000747828;00017_fechamento_inox_mir_1 | INOX 304 # 2.00 240.44x1944.10 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2920;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;506;PA000747826;00014_fechamento_inox_mir_1 | INOX 304 # 2.00 530.40x979.96 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2921;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;505;PA000746292;00010_fechamento_inox_traseira_1 | INOX 304 # 2.00 366.00x1490.00 (L X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2922;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;504;PA000746291;00009_fechamento_inox_direita_1 | INOX 304 # 2.00 646.00x974.00 (L X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2923;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;503;PA000747830;00019_fechamento_inox_mir_1 | INOX 304 # 2.00 366.28x2454.00 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2924;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;502;PA000747827;00016_fechamento_inox_mir_1 | INOX 304 # 2.00 460.42x2454.00 (L D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2925;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;501;PA000747841;default_3366_atf_mir_1 | INOX 304 # 3.00 900.42x1518.43 (L R D X );1;2026-02-19T12:23:55.086;Zera estoque (fornecedor BAUMANN INDUSTRIA E COMERCIO DE ACOS LTDA);;;;;;
2947;3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1435;16280337;IHM CMT2078X 7" 800X480;2;2026-02-19T13:35:14.877882;Edição pela tela da OS (baixa imediata);119;4;111;3;;
